lead_id,lead_created_at,source_platform,tracked_campaign,qualified,converted
crm-0105-g-nonbrand-26,2026-01-05T13:55:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-27,2026-01-05T14:02:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-28,2026-01-05T15:09:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-29,2026-01-05T16:16:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-30,2026-01-05T17:23:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-31,2026-01-05T08:30:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-32,2026-01-05T09:37:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-33,2026-01-05T10:44:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-34,2026-01-05T11:51:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-35,2026-01-05T12:58:00,google,g-nonbrand,no,no
crm-0105-m-prospect-1,2026-01-05T08:00:00,meta,m-prospect,yes,yes
crm-0105-m-prospect-2,2026-01-05T09:07:00,meta,m-prospect,yes,yes
crm-0105-m-prospect-3,2026-01-05T10:14:00,meta,m-prospect,yes,yes
crm-0105-m-prospect-4,2026-01-05T11:21:00,meta,m-prospect,yes,yes
crm-0105-m-prospect-5,2026-01-05T12:28:00,meta,m-prospect,yes,no
crm-0105-m-prospect-6,2026-01-05T13:35:00,meta,m-prospect,yes,no
crm-0105-m-prospect-7,2026-01-05T14:42:00,meta,m-prospect,yes,no
crm-0105-m-prospect-8,2026-01-05T15:49:00,meta,m-prospect,yes,no
crm-0105-m-prospect-9,2026-01-05T16:56:00,meta,m-prospect,yes,no
crm-0105-m-prospect-10,2026-01-05T17:03:00,meta,m-prospect,yes,no
crm-0105-m-prospect-11,2026-01-05T08:10:00,meta,m-prospect,yes,no
crm-0105-m-prospect-12,2026-01-05T09:17:00,meta,m-prospect,yes,no
crm-0105-m-prospect-13,2026-01-05T10:24:00,meta,m-prospect,yes,no
crm-0105-m-prospect-14,2026-01-05T11:31:00,meta,m-prospect,yes,no
crm-0105-m-prospect-15,2026-01-05T12:38:00,meta,m-prospect,yes,no
crm-0105-m-prospect-16,2026-01-05T13:45:00,meta,m-prospect,yes,no
crm-0105-m-prospect-17,2026-01-05T14:52:00,meta,m-prospect,yes,no
crm-0105-m-prospect-18,2026-01-05T15:59:00,meta,m-prospect,yes,no
crm-0105-m-prospect-19,2026-01-05T16:06:00,meta,m-prospect,yes,no
crm-0105-m-prospect-20,2026-01-05T17:13:00,meta,m-prospect,yes,no
crm-0105-m-prospect-21,2026-01-05T08:20:00,meta,m-prospect,no,no
crm-0105-m-prospect-22,2026-01-05T09:27:00,meta,m-prospect,no,no
crm-0105-m-prospect-23,2026-01-05T10:34:00,meta,m-prospect,no,no
crm-0105-m-prospect-24,2026-01-05T11:41:00,meta,m-prospect,no,no
crm-0105-m-prospect-25,2026-01-05T12:48:00,meta,m-prospect,no,no
crm-0105-m-prospect-26,2026-01-05T13:55:00,meta,m-prospect,no,no
crm-0105-m-prospect-27,2026-01-05T14:02:00,meta,m-prospect,no,no
crm-0105-m-prospect-28,2026-01-05T15:09:00,meta,m-prospect,no,no
crm-0105-m-prospect-29,2026-01-05T16:16:00,meta,m-prospect,no,no
crm-0105-m-prospect-30,2026-01-05T17:23:00,meta,m-prospect,no,no
crm-0105-m-prospect-31,2026-01-05T08:30:00,meta,m-prospect,no,no
crm-0105-m-prospect-32,2026-01-05T09:37:00,meta,m-prospect,no,no
crm-0105-m-prospect-33,2026-01-05T10:44:00,meta,m-prospect,no,no
crm-0105-m-prospect-34,2026-01-05T11:51:00,meta,m-prospect,no,no
crm-0105-m-prospect-35,2026-01-05T12:58:00,meta,m-prospect,no,no
crm-0105-m-prospect-36,2026-01-05T13:05:00,meta,m-prospect,no,no
crm-0105-m-prospect-37,2026-01-05T14:12:00,meta,m-prospect,no,no
crm-0105-m-prospect-38,2026-01-05T15:19:00,meta,m-prospect,no,no
crm-0105-m-retarget-1,2026-01-05T08:00:00,meta,m-retarget,yes,yes
crm-0105-m-retarget-2,2026-01-05T09:07:00,meta,m-retarget,yes,yes
crm-0105-m-retarget-3,2026-01-05T10:14:00,meta,m-retarget,yes,yes
crm-0105-m-retarget-4,2026-01-05T11:21:00,meta,m-retarget,yes,yes
crm-0105-m-retarget-5,2026-01-05T12:28:00,meta,m-retarget,yes,yes
crm-0105-m-retarget-6,2026-01-05T13:35:00,meta,m-retarget,yes,no
crm-0105-m-retarget-7,2026-01-05T14:42:00,meta,m-retarget,yes,no
crm-0105-m-retarget-8,2026-01-05T15:49:00,meta,m-retarget,yes,no
crm-0105-m-retarget-9,2026-01-05T16:56:00,meta,m-retarget,yes,no
crm-0105-m-retarget-10,2026-01-05T17:03:00,meta,m-retarget,yes,no
crm-0105-m-retarget-11,2026-01-05T08:10:00,meta,m-retarget,yes,no
crm-0105-m-retarget-12,2026-01-05T09:17:00,meta,m-retarget,yes,no
crm-0105-m-retarget-13,2026-01-05T10:24:00,meta,m-retarget,yes,no
crm-0105-m-retarget-14,2026-01-05T11:31:00,meta,m-retarget,yes,no
crm-0105-m-retarget-15,2026-01-05T12:38:00,meta,m-retarget,yes,no
crm-0105-m-retarget-16,2026-01-05T13:45:00,meta,m-retarget,yes,no
crm-0105-m-retarget-17,2026-01-05T14:52:00,meta,m-retarget,yes,no
crm-0105-m-retarget-18,2026-01-05T15:59:00,meta,m-retarget,yes,no
crm-0105-m-retarget-19,2026-01-05T16:06:00,meta,m-retarget,yes,no
crm-0105-m-retarget-20,2026-01-05T17:13:00,meta,m-retarget,yes,no
crm-0105-m-retarget-21,2026-01-05T08:20:00,meta,m-retarget,no,no
crm-0105-m-retarget-22,2026-01-05T09:27:00,meta,m-retarget,no,no
crm-0105-m-retarget-23,2026-01-05T10:34:00,meta,m-retarget,no,no
crm-0105-m-retarget-24,2026-01-05T11:41:00,meta,m-retarget,no,no
crm-0105-m-retarget-25,2026-01-05T12:48:00,meta,m-retarget,no,no
crm-0105-m-retarget-26,2026-01-05T13:55:00,meta,m-retarget,no,no
crm-0105-m-retarget-27,2026-01-05T14:02:00,meta,m-retarget,no,no
crm-0105-m-retarget-28,2026-01-05T15:09:00,meta,m-retarget,no,no
crm-0112-g-brand-1,2026-01-12T08:00:00,google,g-brand,yes,yes
crm-0112-g-brand-2,2026-01-12T09:07:00,google,g-brand,yes,yes
crm-0112-g-brand-3,2026-01-12T10:14:00,google,g-brand,yes,yes
crm-0112-g-brand-4,2026-01-12T11:21:00,google,g-brand,yes,no
crm-0112-g-brand-5,2026-01-12T12:28:00,google,g-brand,yes,no
crm-0112-g-brand-6,2026-01-12T13:35:00,google,g-brand,yes,no
crm-0112-g-brand-7,2026-01-12T14:42:00,google,g-brand,yes,no
crm-0112-g-brand-8,2026-01-12T15:49:00,google,g-brand,yes,no
crm-0112-g-brand-9,2026-01-12T16:56:00,google,g-brand,yes,no
crm-0112-g-brand-10,2026-01-12T17:03:00,google,g-brand,yes,no
crm-0112-g-brand-11,2026-01-12T08:10:00,google,g-brand,no,no
crm-0112-g-brand-12,2026-01-12T09:17:00,google,g-brand,no,no
crm-0112-g-brand-13,2026-01-12T10:24:00,google,g-brand,no,no
crm-0112-g-brand-14,2026-01-12T11:31:00,google,g-brand,no,no
crm-0112-g-brand-15,2026-01-12T12:38:00,google,g-brand,no,no
crm-0112-g-brand-16,2026-01-12T13:45:00,google,g-brand,no,no
crm-0112-g-brand-17,2026-01-12T14:52:00,google,g-brand,no,no
crm-0112-g-brand-18,2026-01-12T15:59:00,google,g-brand,no,no
crm-0112-g-brand-19,2026-01-12T16:06:00,google,g-brand,no,no
crm-0112-g-brand-20,2026-01-12T17:13:00,google,g-brand,no,no
crm-0112-g-brand-21,2026-01-12T08:20:00,google,g-brand,no,no
crm-0112-g-brand-22,2026-01-12T09:27:00,google,g-brand,no,no
crm-0112-g-brand-23,2026-01-12T10:34:00,google,g-brand,no,no
crm-0112-g-brand-24,2026-01-12T11:41:00,google,g-brand,no,no
crm-0112-g-nonbrand-1,2026-01-12T08:00:00,google,g-nonbrand,yes,yes
crm-0112-g-nonbrand-2,2026-01-12T09:07:00,google,g-nonbrand,yes,yes
crm-0112-g-nonbrand-3,2026-01-12T10:14:00,google,g-nonbrand,yes,yes
crm-0112-g-nonbrand-4,2026-01-12T11:21:00,google,g-nonbrand,yes,yes
crm-0112-g-nonbrand-5,2026-01-12T12:28:00,google,g-nonbrand,yes,yes
crm-0112-g-nonbrand-6,2026-01-12T13:35:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-7,2026-01-12T14:42:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-8,2026-01-12T15:49:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-9,2026-01-12T16:56:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-10,2026-01-12T17:03:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-11,2026-01-12T08:10:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-12,2026-01-12T09:17:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-13,2026-01-12T10:24:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-14,2026-01-12T11:31:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-15,2026-01-12T12:38:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-16,2026-01-12T13:45:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-17,2026-01-12T14:52:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-18,2026-01-12T15:59:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-19,2026-01-12T16:06:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-20,2026-01-12T17:13:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-21,2026-01-12T08:20:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-22,2026-01-12T09:27:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-23,2026-01-12T10:34:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-24,2026-01-12T11:41:00,google,g-nonbrand,yes,no
crm-0112-g-nonbrand-25,2026-01-12T12:48:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-26,2026-01-12T13:55:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-27,2026-01-12T14:02:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-28,2026-01-12T15:09:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-29,2026-01-12T16:16:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-30,2026-01-12T17:23:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-31,2026-01-12T08:30:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-32,2026-01-12T09:37:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-33,2026-01-12T10:44:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-34,2026-01-12T11:51:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-35,2026-01-12T12:58:00,google,g-nonbrand,no,no
crm-0112-g-nonbrand-36,2026-01-12T13:05:00,google,g-nonbrand,no,no
crm-0112-m-prospect-1,2026-01-12T08:00:00,meta,m-prospect,yes,yes
crm-0112-m-prospect-2,2026-01-12T09:07:00,meta,m-prospect,yes,yes
crm-0112-m-prospect-3,2026-01-12T10:14:00,meta,m-prospect,yes,yes
crm-0112-m-prospect-4,2026-01-12T11:21:00,meta,m-prospect,yes,yes
crm-0112-m-prospect-5,2026-01-12T12:28:00,meta,m-prospect,yes,no
crm-0112-m-prospect-6,2026-01-12T13:35:00,meta,m-prospect,yes,no
crm-0112-m-prospect-7,2026-01-12T14:42:00,meta,m-prospect,yes,no
crm-0112-m-prospect-8,2026-01-12T15:49:00,meta,m-prospect,yes,no
crm-0112-m-prospect-9,2026-01-12T16:56:00,meta,m-prospect,yes,no
crm-0112-m-prospect-10,2026-01-12T17:03:00,meta,m-prospect,yes,no
crm-0112-m-prospect-11,2026-01-12T08:10:00,meta,m-prospect,yes,no
crm-0112-m-prospect-12,2026-01-12T09:17:00,meta,m-prospect,yes,no
crm-0112-m-prospect-13,2026-01-12T10:24:00,meta,m-prospect,yes,no
crm-0112-m-prospect-14,2026-01-12T11:31:00,meta,m-prospect,yes,no
crm-0112-m-prospect-15,2026-01-12T12:38:00,meta,m-prospect,yes,no
crm-0112-m-prospect-16,2026-01-12T13:45:00,meta,m-prospect,yes,no
crm-0112-m-prospect-17,2026-01-12T14:52:00,meta,m-prospect,yes,no
crm-0112-m-prospect-18,2026-01-12T15:59:00,meta,m-prospect,yes,no
crm-0112-m-prospect-19,2026-01-12T16:06:00,meta,m-prospect,no,no
crm-0112-m-prospect-20,2026-01-12T17:13:00,meta,m-prospect,no,no
crm-0112-m-prospect-21,2026-01-12T08:20:00,meta,m-prospect,no,no
crm-0112-m-prospect-22,2026-01-12T09:27:00,meta,m-prospect,no,no
crm-0112-m-prospect-23,2026-01-12T10:34:00,meta,m-prospect,no,no
crm-0112-m-prospect-24,2026-01-12T11:41:00,meta,m-prospect,no,no
crm-0112-m-prospect-25,2026-01-12T12:48:00,meta,m-prospect,no,no
crm-0112-m-prospect-26,2026-01-12T13:55:00,meta,m-prospect,no,no
crm-0112-m-prospect-27,2026-01-12T14:02:00,meta,m-prospect,no,no
crm-0112-m-prospect-28,2026-01-12T15:09:00,meta,m-prospect,no,no
crm-0112-m-prospect-29,2026-01-12T16:16:00,meta,m-prospect,no,no
crm-0112-m-prospect-30,2026-01-12T17:23:00,meta,m-prospect,no,no
crm-0112-m-prospect-31,2026-01-12T08:30:00,meta,m-prospect,no,no
crm-0112-m-prospect-32,2026-01-12T09:37:00,meta,m-prospect,no,no
crm-0112-m-prospect-33,2026-01-12T10:44:00,meta,m-prospect,no,no
crm-0112-m-prospect-34,2026-01-12T11:51:00,meta,m-prospect,no,no
crm-0112-m-prospect-35,2026-01-12T12:58:00,meta,m-prospect,no,no
crm-0112-m-prospect-36,2026-01-12T13:05:00,meta,m-prospect,no,no
crm-0112-m-prospect-37,2026-01-12T14:12:00,meta,m-prospect,no,no
crm-0112-m-prospect-38,2026-01-12T15:19:00,meta,m-prospect,no,no
crm-0112-m-prospect-39,2026-01-12T16:26:00,meta,m-prospect,no,no
crm-0112-m-retarget-1,2026-01-12T08:00:00,meta,m-retarget,yes,yes
crm-0112-m-retarget-2,2026-01-12T09:07:00,meta,m-retarget,yes,yes
crm-0112-m-retarget-3,2026-01-12T10:14:00,meta,m-retarget,yes,yes
crm-0112-m-retarget-4,2026-01-12T11:21:00,meta,m-retarget,yes,yes
crm-0112-m-retarget-5,2026-01-12T12:28:00,meta,m-retarget,yes,yes
crm-0112-m-retarget-6,2026-01-12T13:35:00,meta,m-retarget,yes,no
crm-0112-m-retarget-7,2026-01-12T14:42:00,meta,m-retarget,yes,no
crm-0112-m-retarget-8,2026-01-12T15:49:00,meta,m-retarget,yes,no
crm-0112-m-retarget-9,2026-01-12T16:56:00,meta,m-retarget,yes,no
crm-0112-m-retarget-10,2026-01-12T17:03:00,meta,m-retarget,yes,no
crm-0112-m-retarget-11,2026-01-12T08:10:00,meta,m-retarget,yes,no
crm-0112-m-retarget-12,2026-01-12T09:17:00,meta,m-retarget,yes,no
crm-0112-m-retarget-13,2026-01-12T10:24:00,meta,m-retarget,yes,no
crm-0112-m-retarget-14,2026-01-12T11:31:00,meta,m-retarget,yes,no
crm-0112-m-retarget-15,2026-01-12T12:38:00,meta,m-retarget,yes,no
crm-0112-m-retarget-16,2026-01-12T13:45:00,meta,m-retarget,yes,no
crm-0112-m-retarget-17,2026-01-12T14:52:00,meta,m-retarget,yes,no
crm-0112-m-retarget-18,2026-01-12T15:59:00,meta,m-retarget,yes,no
crm-0112-m-retarget-19,2026-01-12T16:06:00,meta,m-retarget,yes,no
crm-0112-m-retarget-20,2026-01-12T17:13:00,meta,m-retarget,yes,no
crm-0112-m-retarget-21,2026-01-12T08:20:00,meta,m-retarget,no,no
crm-0112-m-retarget-22,2026-01-12T09:27:00,meta,m-retarget,no,no
crm-0112-m-retarget-23,2026-01-12T10:34:00,meta,m-retarget,no,no
crm-0112-m-retarget-24,2026-01-12T11:41:00,meta,m-retarget,no,no
crm-0112-m-retarget-25,2026-01-12T12:48:00,meta,m-retarget,no,no
crm-0112-m-retarget-26,2026-01-12T13:55:00,meta,m-retarget,no,no
crm-0112-m-retarget-27,2026-01-12T14:02:00,meta,m-retarget,no,no
crm-0112-m-retarget-28,2026-01-12T15:09:00,meta,m-retarget,no,no
crm-0112-m-retarget-29,2026-01-12T16:16:00,meta,m-retarget,no,no
crm-0119-g-brand-1,2026-01-19T08:00:00,google,g-brand,yes,yes
crm-0119-g-brand-2,2026-01-19T09:07:00,google,g-brand,yes,yes
crm-0119-g-brand-3,2026-01-19T10:14:00,google,g-brand,yes,yes
crm-0119-g-brand-4,2026-01-19T11:21:00,google,g-brand,yes,no
crm-0119-g-brand-5,2026-01-19T12:28:00,google,g-brand,yes,no
crm-0119-g-brand-6,2026-01-19T13:35:00,google,g-brand,yes,no
crm-0119-g-brand-7,2026-01-19T14:42:00,google,g-brand,yes,no
crm-0119-g-brand-8,2026-01-19T15:49:00,google,g-brand,yes,no
crm-0119-g-brand-9,2026-01-19T16:56:00,google,g-brand,yes,no
crm-0119-g-brand-10,2026-01-19T17:03:00,google,g-brand,yes,no
crm-0119-g-brand-11,2026-01-19T08:10:00,google,g-brand,no,no
crm-0119-g-brand-12,2026-01-19T09:17:00,google,g-brand,no,no
crm-0119-g-brand-13,2026-01-19T10:24:00,google,g-brand,no,no
crm-0119-g-brand-14,2026-01-19T11:31:00,google,g-brand,no,no
crm-0119-g-brand-15,2026-01-19T12:38:00,google,g-brand,no,no
crm-0119-g-brand-16,2026-01-19T13:45:00,google,g-brand,no,no
crm-0119-g-brand-17,2026-01-19T14:52:00,google,g-brand,no,no
crm-0119-g-brand-18,2026-01-19T15:59:00,google,g-brand,no,no
crm-0119-g-brand-19,2026-01-19T16:06:00,google,g-brand,no,no
crm-0119-g-brand-20,2026-01-19T17:13:00,google,g-brand,no,no
crm-0119-g-brand-21,2026-01-19T08:20:00,google,g-brand,no,no
crm-0119-g-brand-22,2026-01-19T09:27:00,google,g-brand,no,no
crm-0119-g-brand-23,2026-01-19T10:34:00,google,g-brand,no,no
crm-0119-g-brand-24,2026-01-19T11:41:00,google,g-brand,no,no
crm-0119-g-brand-25,2026-01-19T12:48:00,google,g-brand,no,no
crm-0119-g-nonbrand-1,2026-01-19T08:00:00,google,g-nonbrand,yes,yes
crm-0119-g-nonbrand-2,2026-01-19T09:07:00,google,g-nonbrand,yes,yes
crm-0119-g-nonbrand-3,2026-01-19T10:14:00,google,g-nonbrand,yes,yes
crm-0119-g-nonbrand-4,2026-01-19T11:21:00,google,g-nonbrand,yes,yes
crm-0119-g-nonbrand-5,2026-01-19T12:28:00,google,g-nonbrand,yes,yes
crm-0119-g-nonbrand-6,2026-01-19T13:35:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-7,2026-01-19T14:42:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-8,2026-01-19T15:49:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-9,2026-01-19T16:56:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-10,2026-01-19T17:03:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-11,2026-01-19T08:10:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-12,2026-01-19T09:17:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-13,2026-01-19T10:24:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-14,2026-01-19T11:31:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-15,2026-01-19T12:38:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-16,2026-01-19T13:45:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-17,2026-01-19T14:52:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-18,2026-01-19T15:59:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-19,2026-01-19T16:06:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-20,2026-01-19T17:13:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-21,2026-01-19T08:20:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-22,2026-01-19T09:27:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-23,2026-01-19T10:34:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-24,2026-01-19T11:41:00,google,g-nonbrand,yes,no
crm-0119-g-nonbrand-25,2026-01-19T12:48:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-26,2026-01-19T13:55:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-27,2026-01-19T14:02:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-28,2026-01-19T15:09:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-29,2026-01-19T16:16:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-30,2026-01-19T17:23:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-31,2026-01-19T08:30:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-32,2026-01-19T09:37:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-33,2026-01-19T10:44:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-34,2026-01-19T11:51:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-35,2026-01-19T12:58:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-36,2026-01-19T13:05:00,google,g-nonbrand,no,no
crm-0119-g-nonbrand-37,2026-01-19T14:12:00,google,g-nonbrand,no,no
crm-0119-m-prospect-1,2026-01-19T08:00:00,meta,m-prospect,yes,yes
crm-0119-m-prospect-2,2026-01-19T09:07:00,meta,m-prospect,yes,yes
crm-0119-m-prospect-3,2026-01-19T10:14:00,meta,m-prospect,yes,yes
crm-0119-m-prospect-4,2026-01-19T11:21:00,meta,m-prospect,yes,yes
crm-0119-m-prospect-5,2026-01-19T12:28:00,meta,m-prospect,yes,yes
crm-0119-m-prospect-6,2026-01-19T13:35:00,meta,m-prospect,yes,no
crm-0119-m-prospect-7,2026-01-19T14:42:00,meta,m-prospect,yes,no
crm-0119-m-prospect-8,2026-01-19T15:49:00,meta,m-prospect,yes,no
crm-0119-m-prospect-9,2026-01-19T16:56:00,meta,m-prospect,yes,no
crm-0119-m-prospect-10,2026-01-19T17:03:00,meta,m-prospect,yes,no
crm-0119-m-prospect-11,2026-01-19T08:10:00,meta,m-prospect,yes,no
crm-0119-m-prospect-12,2026-01-19T09:17:00,meta,m-prospect,yes,no
crm-0119-m-prospect-13,2026-01-19T10:24:00,meta,m-prospect,yes,no
crm-0119-m-prospect-14,2026-01-19T11:31:00,meta,m-prospect,yes,no
crm-0119-m-prospect-15,2026-01-19T12:38:00,meta,m-prospect,yes,no
crm-0119-m-prospect-16,2026-01-19T13:45:00,meta,m-prospect,yes,no
crm-0119-m-prospect-17,2026-01-19T14:52:00,meta,m-prospect,yes,no
crm-0119-m-prospect-18,2026-01-19T15:59:00,meta,m-prospect,yes,no
crm-0119-m-prospect-19,2026-01-19T16:06:00,meta,m-prospect,yes,no
crm-0119-m-prospect-20,2026-01-19T17:13:00,meta,m-prospect,yes,no
crm-0119-m-prospect-21,2026-01-19T08:20:00,meta,m-prospect,yes,no
crm-0119-m-prospect-22,2026-01-19T09:27:00,meta,m-prospect,yes,no
crm-0119-m-prospect-23,2026-01-19T10:34:00,meta,m-prospect,yes,no
crm-0119-m-prospect-24,2026-01-19T11:41:00,meta,m-prospect,yes,no
crm-0119-m-prospect-25,2026-01-19T12:48:00,meta,m-prospect,yes,no
